cnpj_raiz,email_corporativo,cargo_dono_agg,estado,capital
05.940.799,1,socio,PB,0
05.948.313,0,socio,RS,0
05.958.703,0,gerente,PR,0
05.991.791,1,proprietario,SP,0
05.993.601,0,diretor,SC,0
05.997.742,1,gerente,ES,0
06.023.421,0,socio,ES,0
06.035.543,1,outros,Outros,1
06.042.126,1,diretor,Outros,0
06.042.651,1,gerente,SP,1
06.049.258,1,outros,Outros,1
06.053.436,1,diretor,Outros,1
06.066.618,1,proprietario,SC,0
06.067.703,0,proprietario,Outros,0
06.069.276,1,gerente,SP,1
06.090.977,1,diretor,SP,0
06.097.090,1,proprietario,RS,0
06.097.777,0,gerente,SP,0
06.102.789,0,diretor,Outros,0
06.111.334,1,socio,MG,1
06.116.542,1,diretor,Outros,1
06.127.560,1,diretor,MG,0
06.134.846,1,diretor,SP,0
06.135.402,0,diretor,PR,0
06.136.007,1,socio,SP,0
06.145.778,0,proprietario,RS,0
06.148.166,0,diretor,Outros,1
06.161.433,0,diretor,PR,0
06.165.285,0,socio,BA,0
06.168.597,1,outros,PR,1
06.175.536,1,outros,Outros,0
06.183.455,1,proprietario,SP,0
06.185.537,0,gerente,Outros,1
06.186.733,1,diretor,Outros,1
06.186.735,0,diretor,PR,0
06.194.261,0,diretor,Outros,0
06.203.464,1,proprietario,SC,0
06.208.105,1,gerente,RS,0
06.225.952,1,diretor,SC,0
06.229.799,0,gerente,SP,1
06.235.812,1,gerente,SP,0
06.241.044,0,gerente,MG,0
06.251.245,1,gerente,ES,0
06.251.333,1,socio,RJ,0
06.252.839,1,socio,BA,1
06.254.518,1,proprietario,MG,0
06.255.692,1,gerente,SC,0
06.264.796,1,diretor,ES,0
06.269.345,1,diretor,RS,1
06.270.064,0,socio,RS,0
06.274.668,0,gerente,RS,1
06.281.096,1,gerente,PR,0
06.284.578,1,socio,Outros,0
06.286.431,1,socio,MG,0
06.313.235,1,diretor,Outros,0
06.317.393,1,diretor,Outros,0
06.322.290,1,proprietario,SC,0
06.325.805,1,socio,Outros,1
06.327.037,1,outros,PR,1
06.345.266,1,diretor,Outros,1
06.355.217,1,diretor,MG,0
06.368.042,1,diretor,PB,0
06.373.063,1,gerente,SP,0
06.376.945,1,gerente,MG,0
06.697.090,1,gerente,Outros,0
06.698.109,0,gerente,PR,0
06.746.643,1,gerente,SP,0
06.867.080,1,proprietario,MG,0
06.871.927,1,socio,MG,1
06.888.182,0,outros,PR,0
06.890.941,1,socio,Outros,1
06.894.715,1,diretor,SP,0
06.895.798,0,socio,PB,1
06.912.628,1,proprietario,Outros,1
06.924.952,1,outros,MG,1
06.945.970,0,diretor,Outros,1
06.948.119,1,diretor,SP,0
06.950.555,0,diretor,SC,0
06.951.519,1,diretor,SP,0
06.955.557,1,gerente,ES,0
06.959.021,1,diretor,SC,0
06.979.844,0,diretor,Outros,1
06.983.881,0,socio,MG,0
06.987.041,0,diretor,Outros,0
07.011.212,1,gerente,Outros,1
07.015.016,1,diretor,RJ,0
07.016.026,1,socio,MG,0
07.036.880,1,socio,GO,1
07.054.332,1,proprietario,Outros,0
07.058.974,0,diretor,Outros,1
07.063.698,1,gerente,SP,1
07.063.949,1,socio,SP,0
07.073.042,1,gerente,Outros,1
07.086.360,1,gerente,MG,0
07.102.721,1,diretor,GO,0
07.103.283,1,socio,Outros,0
07.103.642,1,diretor,ES,0
07.122.025,1,gerente,ES,0
07.132.068,1,diretor,Outros,1
07.132.332,1,socio,PB,0
07.133.563,1,proprietario,Outros,0
07.134.477,1,gerente,RS,0
07.145.027,1,gerente,Outros,1
07.162.838,0,diretor,Outros,0
07.176.362,0,diretor,BA,0
07.177.541,1,diretor,Outros,1
07.180.178,1,diretor,ES,0
07.195.511,1,proprietario,PR,1
07.196.139,1,diretor,Outros,0
07.197.465,1,outros,Outros,1
07.212.811,1,diretor,Outros,0
07.220.874,1,proprietario,Outros,1
07.223.579,1,gerente,SP,0
07.225.332,1,diretor,PR,0
07.232.615,0,gerente,Outros,0
07.235.789,1,socio,Outros,0
07.243.002,1,gerente,Outros,0
07.244.914,0,socio,Outros,1
07.262.290,0,proprietario,Outros,0
07.268.462,1,diretor,PR,0
07.283.054,0,socio,Outros,1
07.284.868,0,gerente,Outros,0
07.298.131,1,diretor,PR,1
07.328.256,1,gerente,Outros,1
07.350.344,1,gerente,BA,0
07.361.233,1,diretor,Outros,1
07.361.356,0,diretor,MG,0
07.370.836,1,socio,Outros,1
07.386.356,0,proprietario,PR,0
07.403.484,1,gerente,SP,1
07.424.022,0,gerente,PB,0
07.429.774,1,diretor,ES,0
07.432.416,1,diretor,PR,0
07.447.199,0,diretor,ES,0
07.453.115,1,gerente,MG,0
07.460.162,0,diretor,SC,0
